"review","severity","file","location","issue","decision","change","verification_command"
"prr","Major","paper/sections/06_discussion.tex","scope and boundary statements","Transferability beyond one branch and perturbation family was not distinguished from instance-level evidence.","partially accepted","Added an explicit theorem-level versus instance-level generality map. No second family was added because the manuscript now claims only one numerical realization and the bounded structural theorem.","uv run pytest -q tests/test_discussion_prose.py"
"prr","Major","paper/sections/00_abstract.tex","abstract","The abstract was dominated by model-specific audit values and did not lead with the conceptual advance.","accepted","Rewrote the abstract around symmetry-lifted stationary dimension, the coefficient-resolved bridge, and noncommuting limits; retained only belief-changing numerical evidence and the estimator caveat.","uv run pytest -q tests/test_abstract_and_captions.py"
"prr","Minor","docs/literature/search_log.md","online DOI audit summary","The narrative said 38 retained DOI records while the audit and BibTeX contained 39.","accepted","Refreshed the online audit timestamp and corrected the search log, novelty matrix, and contract test to 39 records.","uv run pytest -q tests/test_bibliography.py"
"prr","Minor","src/zgv_morse/figures/figure01_geometry.py","conceptual panel title","Topology alone was said to control decay although dimension and Hessian rank are the demonstrated mechanism.","accepted","Replaced the broad wording with stationary-set dimension and Hessian-rank language in the figure, contracts, and conclusion.","uv run pytest -q tests/figures/test_figure01.py tests/test_discussion_prose.py"
"prr","Minor","paper/sections","reader-facing prose","Protocol vocabulary such as registered and artifact-backed obscured the scientific narrative.","accepted","Removed reader-facing registered terminology from the main sections, reduced audit jargon in the abstract, and retained procedural detail only where it defines Methods or provenance.","uv run pytest -q tests/test_framing_prose.py tests/test_results_prose.py"
"prr","Minor","docs/figures/figure_contracts.md","Figures 1 and 4 roles","Figures 1 and 4 repeated similar ring-to-eight-point views without sufficiently distinct evidentiary roles.","accepted","Defined Figure 1 as the conceptual mechanism overview and Figure 4 as the full-wave finite-resolution realization with Hessian and refinement evidence.","uv run pytest -q tests/figures/test_figure01.py tests/figures/test_figure04.py"
"prr","Minor","paper/figure_captions.tex","Figure 3c priority","The perturbation-convention panel occupies substantial space relative to independent closure evidence.","deferred with reason","The panel is retained because sign and epsilon-counting conventions are a known failure mode central to the coefficient closure; the caption now states its convention-check role and visual QA found no crowding.","uv run pytest -q tests/figures/test_figure03.py tests/test_abstract_and_captions.py"
"prr","Minor","src/zgv_morse/figures/figure06_crossover.py","collapse annotation","Parameter-free could be misread as containing no physical parameters.","accepted","Replaced parameter-free with without fitted alignment and explicitly listed the prohibited amplitude, phase, carrier, and time shifts.","uv run pytest -q tests/figures/test_figure06.py"
"repro_code_review","Important","scripts/compile_paper_semantic.py","PDF validation","The initial semantic gate accepted a header/EOF-only byte string that was not a structurally valid PDF.","accepted","Added strict pypdf parsing, non-encryption and nonempty-page requirements, plus a malformed-cross-reference negative test.","uv run pytest -q tests/test_semantic_compile.py"
"repro_code_review","Minor","README.md","expected outputs","Machine-readable figure source data was incorrectly described as residing in figure export directories.","accepted","Documented data/source_data as the source-table location and protected it with the README contract test.","uv run pytest -q tests/test_readme_contract.py"
"domain_code_review","Important","src/zgv_morse/green_response.py","support coverage check","A 32-epsilon tolerance allowed integration endpoints one ULP inside compact support.","accepted","Removed the inward tolerance and added independent inner/outer one-ULP undercoverage rejection tests.","uv run pytest -q tests/test_green_response.py"
"domain_code_review","Important","tests/test_green_response.py","registered-grid fixture","A literal 0.3 endpoint was one ULP inside the computed 1.5*0.2 support after the strict fix.","accepted","Constructed the fixture endpoints from the same support constant and window sigma as production.","uv run pytest -q tests/test_green_response.py"
"claim_code_review","Important","paper/sections/00_abstract.tex","novelty and finite-resolution sentences","The initial rewrite made an unqualified negative-priority claim and used the ambiguous phrase eight stable roots.","accepted","Bounded the novelty sentence to the dated literature audit and used eight resolved, refinement-stable roots.","uv run pytest -q tests/test_abstract_and_captions.py"
"claim_code_review","Important","paper/sections/06_discussion.tex","generality map","A dominant fourfold coefficient was incorrectly made sufficient for the same single-J0 matched temporal regimes.","accepted","Separated geometric root persistence from temporal canonical form; the single-J0 match now additionally requires a pure leading fourfold phase and the declared source/remainder hypotheses. C3 now says sufficiently small nonzero epsilon.","uv run pytest -q tests/test_discussion_prose.py tests/test_results_prose.py"
"claim_code_review","Important","src/zgv_morse/figures/figure06_crossover.py","panel d title","The first revised panel-d title clipped the freshly rendered right margin.","accepted","Shortened the title to Theory-centred crossing check and made the deterministic figure test inspect the newly built PNG margin.","uv run pytest -q tests/figures/test_figure06.py"
"claim_code_review","Important","paper/figure_captions.tex","Figure 6 caption","The first expanded caption made the Figure 6 float exceed the page by 29.67 pt.","accepted","Compressed the caption while preserving all six panel roles, two-slice warning, fit windows, cancellation semantics, and source-data path; the exact compiler is warning-free.","uv run python scripts/compile_paper.py"
"claim_code_review","Minor","paper/sections/00_abstract.tex","finite-resolution sentence","The phrase resolves the corresponding eight resolved was repetitive.","accepted","Changed it to yields eight resolved, refinement-stable roots.","uv run pytest -q tests/test_abstract_and_captions.py"
